typ_desc,incident_date,count
ALARMS: AUDIBLE/OUTSIDE,2024-01-26T00:00:00.000,21
ALARMS: AUDIBLE/OUTSIDE,2024-01-27T00:00:00.000,10
ALARMS: AUDIBLE/OUTSIDE,2024-01-28T00:00:00.000,16
ALARMS: AUDIBLE/OUTSIDE,2024-01-29T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-01-30T00:00:00.000,11
ALARMS: AUDIBLE/OUTSIDE,2024-01-31T00:00:00.000,13
ALARMS: AUDIBLE/OUTSIDE,2024-02-01T00:00:00.000,18
ALARMS: AUDIBLE/OUTSIDE,2024-02-02T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-02-03T00:00:00.000,4
ALARMS: AUDIBLE/OUTSIDE,2024-02-04T00:00:00.000,10
ALARMS: AUDIBLE/OUTSIDE,2024-02-05T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-02-06T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-02-07T00:00:00.000,10
ALARMS: AUDIBLE/OUTSIDE,2024-02-08T00:00:00.000,6
ALARMS: AUDIBLE/OUTSIDE,2024-02-09T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-02-10T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-02-11T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-02-12T00:00:00.000,3
ALARMS: AUDIBLE/OUTSIDE,2024-02-13T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-02-14T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-02-15T00:00:00.000,6
ALARMS: AUDIBLE/OUTSIDE,2024-02-16T00:00:00.000,10
ALARMS: AUDIBLE/OUTSIDE,2024-02-17T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-02-18T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-02-19T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-02-20T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-02-21T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-02-22T00:00:00.000,11
ALARMS: AUDIBLE/OUTSIDE,2024-02-23T00:00:00.000,16
